gmapsurl,name,stars,nreviews,type,address,closingtime,businesspic,comment,,
https://www.google.com/maps/place/Loft+on+Lake/data=!4m7!3m6!1s0x880e2d26245761b9:0x502873f30ec67d7b!8m2!3d41.8856551!4d-87.6614605!16s%2Fg%2F1tg_xp2h!19sChIJuWFXJCYtDogRe33GDvNzKFA?authuser=0&hl=en&rclk=1,Loft on Lake,4.7,-143,Event venue,1366 W Lake St,⋅ Opens 12 PM Thu,https://lh5.googleusercontent.com/p/AF1QipO40sFyZPk6fsimJDUEKKPQQk4UUS_XLDgT37J3=w138-h92-k-no,"""Amazing venue,",professional,"and accommodating staff."""
https://www.google.com/maps/place/Morgan+MFG/data=!4m7!3m6!1s0x880e2cd114cf975d:0xa02d8c13f728f40b!8m2!3d41.8895808!4d-87.6516783!16s%2Fg%2F11b67ghnr4!19sChIJXZfPFNEsDogRC_Qo9xOMLaA?authuser=0&hl=en&rclk=1,Morgan MFG,4.6,-475,Event venue,401 N Morgan St Suite #100,,https://lh5.googleusercontent.com/p/AF1QipMXedBunlLr_uJ-p3A7YjsfDLy6chvnAEf_XqmB=w138-h92-k-no,"""Also to the serving staff they were very polite and",professional,"."""
https://www.google.com/maps/place/Morgan%27s+on+Fulton/data=!4m7!3m6!1s0x880e2cd0921a7da9:0xf17844a2d8c2675!8m2!3d41.886913!4d-87.6519584!16s%2Fg%2F11c3k9x_fx!19sChIJqX0aktAsDogRdSaMLUqEFw8?authuser=0&hl=en&rclk=1,Morgan's on Fulton,4.7,-154,Event venue,950 W Fulton St,⋅ Opens 10 AM Mon,https://lh5.googleusercontent.com/p/AF1QipOLJ72x69WqlHmPvssl5FR3nj59Yb71Ms2rtcEe=w80-h106-k-no,"""Kasey was kind, transparent,",professional,"and communicative."""
https://www.google.com/maps/place/G314chi/data=!4m7!3m6!1s0x880e2deaba570bd9:0xddce127854006988!8m2!3d41.8624936!4d-87.6244691!16s%2Fg%2F11rdcx_50p!19sChIJ2QtXuuotDogRiGkAVHgSzt0?authuser=0&hl=en&rclk=1,G314chi,4,-8,Event venue,1454 S Michigan Ave,⋅ Closes 5 PM,https://lh5.googleusercontent.com/p/AF1QipNCNBZWxbyatnpeUlAl2ohn6WGxEf1K9VZ98XKm=w80-h98-k-no,"""We utilized G314Chi for our",corporate,"holiday party this month and ..."""
https://www.google.com/maps/place/Vance+Events/data=!4m7!3m6!1s0x880e2d0d69e367db:0x4bce5de98ebcb7d4!8m2!3d41.8648968!4d-87.6868052!16s%2Fg%2F11j4mk38s_!19sChIJ22fjaQ0tDogR1Le8juldzks?authuser=0&hl=en&rclk=1,Vance Events,,,Caterer,2416 W Ogden Ave,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ki4MtS5dYTXPVHZ6irVFIw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=337.72754&pitch=0&thumbfov=100,No dine-in,,
https://www.google.com/maps/place/The+Geraghty/data=!4m7!3m6!1s0x880e2d9801f51a83:0xd0f818d84254abcf!8m2!3d41.8457036!4d-87.6786352!16s%2Fg%2F11b861mf7x!19sChIJgxr1AZgtDogRz6tUQtgY-NA?authuser=0&hl=en&rclk=1,The Geraghty,4.7,-332,Event venue,2520 S Hoyne Ave,⋅ Opens 8:30 AM Mon,https://lh5.googleusercontent.com/p/AF1QipMFaAhQ-kDTcB99OAJ-ZntH9vMU-EyPgTlp-TFJ=w138-h92-k-no,"""Any type of event from",business,"presentations, to weddings."""
https://www.google.com/maps/place/Penthouse+111+Unit+2/data=!4m7!3m6!1s0x880e2cbdac9ebc11:0xbabc62d316a2b6d7!8m2!3d41.8778481!4d-87.6313269!16s%2Fg%2F11c6_vvsl0!19sChIJEbyerL0sDogR17aiFtNivLo?authuser=0&hl=en&rclk=1,Penthouse 111 Unit 2,4.3,-11,Event venue,111 W Jackson Blvd,⋅ Opens 10 AM Mon,https://lh5.googleusercontent.com/p/AF1QipMfbFriQPA8J1cU1YWAtpIasjhqfaU4Bvk07H0t=w122-h92-k-no,"""Extremely",professional,", very accommodating, and they really care!"""
https://www.google.com/maps/place/Fairlie/data=!4m7!3m6!1s0x880e2d48ccbd4145:0x3642d3dbd12c29d7!8m2!3d41.8880885!4d-87.6829089!16s%2Fg%2F11h7nbndbh!19sChIJRUG9zEgtDogR1yks0dvTQjY?authuser=0&hl=en&rclk=1,Fairlie,4.9,-104,Event venue,339 N Bell Ave,,https://lh5.googleusercontent.com/p/AF1QipMvvHy73Q8hkVSoyt-sDc83xHSIOLjEVtbw5Ob-=w80-h98-k-no,"""The staff were all very",professional,"and made every guest feel ..."""
https://www.google.com/maps/place/Davinci+Meeting+Rooms/data=!4m7!3m6!1s0x89e7b4d31c44e489:0xfbaea5d10d1ddcbd!8m2!3d41.8582021!4d-87.6604502!16s%2Fg%2F11btv6533s!19sChIJieREHNO054kRvdwdDdGlrvs?authuser=0&hl=en&rclk=1,Davinci Meeting Rooms,,,Meeting planning service,1655 S Blue Island Ave,⋅ Opens 9 AM Mon,https://lh5.googleusercontent.com/p/AF1QipNMNTzizKJD1vG346FJNpeyOM8qZc4bVkk509V7=w92-h92-k-no,,,
https://www.google.com/maps/place/Convene/data=!4m7!3m6!1s0x880e2d3e16f2c25f:0x633b25d1ca98bed2!8m2!3d41.8805293!4d-87.6355415!16s%2Fg%2F11fn9y_hps!19sChIJX8LyFj4tDogR0r6YytElO2M?authuser=0&hl=en&rclk=1,Convene,4.6,-13,Event venue,311 W Monroe St,⋅ Opens 8 AM Mon,https://lh5.googleusercontent.com/p/AF1QipNwFQynw0jNASvofkVvu2xFcfipJpHkDkAANqHY=w163-h92-k-no,,,
https://www.google.com/maps/place/Davinci+Meeting+Rooms/data=!4m7!3m6!1s0x880e2cddd0d00677:0x494bc057acc8225f!8m2!3d41.8780265!4d-87.6527249!16s%2Fg%2F1pp2vgfjf!19sChIJdwbQ0N0sDogRXyLIrFfAS0k?authuser=0&hl=en&rclk=1,Davinci Meeting Rooms,5,-4,Meeting planning service,1016 W Jackson Blvd,⋅ Opens 9 AM Mon,https://lh5.googleusercontent.com/p/AF1QipPgbW0ocYeGP401FvUOv2lseAAyFty4SQ4S4Jxq=w120-h92-k-no,"""The space was clean and",professional,", and we were beyond ..."""
https://www.google.com/maps/place/Davinci+Meeting+Rooms/data=!4m7!3m6!1s0x880e2dc4a156c3c9:0xdbaff77119a4acef!8m2!3d41.8626801!4d-87.6236051!16s%2Fg%2F11pkk3lcw8!19sChIJycNWocQtDogR76ykGXH3r9s?authuser=0&hl=en&rclk=1,Davinci Meeting Rooms,,,Meeting planning service,1449 S Michigan Ave,⋅ Opens 8:30 AM Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Wbg1LNiw9Lt0eH0N19FMdQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=86.222336&pitch=0&thumbfov=100,,,
https://www.google.com/maps/place/Davinci+Meeting+Rooms/data=!4m7!3m6!1s0x880e2d4ab8b62937:0xd1a9dab4a06093b1!8m2!3d41.8774388!4d-87.6256613!16s%2Fg%2F11fps124dj!19sChIJNym2uEotDogRsZNgoLTaqdE?authuser=0&hl=en&rclk=1,Davinci Meeting Rooms,,,Meeting planning service,333 S Wabash Ave UNIT 2700,⋅ Opens 8:30 AM Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ip74Z4vAWJtLAA-nKK_Wxw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=67.28364&pitch=0&thumbfov=100,,,
